,w_tqqq,w_spy,w_cash
2018-05-24,0.0,0.0,0.0
2018-05-25,1.0,0.0,0.0
2018-05-29,1.0,0.0,0.0
2018-05-30,1.0,0.0,0.0
2018-05-31,1.0,0.0,0.0
2018-06-01,1.0,0.0,0.0
2018-06-04,1.0,0.0,0.0
2018-06-05,1.0,0.0,0.0
2018-06-06,1.0,0.0,0.0
2018-06-07,1.0,0.0,0.0
2018-06-08,1.0,0.0,0.0
2018-06-11,1.0,0.0,0.0
2018-06-12,1.0,0.0,0.0
2018-06-13,1.0,0.0,0.0
2018-06-14,1.0,0.0,0.0
2018-06-15,1.0,0.0,0.0
2018-06-18,1.0,0.0,0.0
2018-06-19,1.0,0.0,0.0
2018-06-20,1.0,0.0,0.0
2018-06-21,1.0,0.0,0.0
2018-06-22,1.0,0.0,0.0
2018-06-25,1.0,0.0,0.0
2018-06-26,0.5003462083712167,0.0,0.49965379162878326
2018-06-27,0.4866263300549062,0.0,0.5133736699450939
2018-06-28,0.5072722283298678,0.0,0.49272777167013215
2018-06-29,0.4975605612277862,0.0,0.5024394387722139
2018-07-02,0.5119684329701829,0.0,0.4880315670298172
2018-07-03,1.0,0.0,0.0
2018-07-05,0.5041400684158077,0.0,0.4958599315841924
2018-07-06,0.5094670130832117,0.0,0.49053298691678826
2018-07-09,1.0,0.0,0.0
2018-07-10,1.0,0.0,0.0
2018-07-11,1.0,0.0,0.0
2018-07-12,1.0,0.0,0.0
2018-07-13,1.0,0.0,0.0
2018-07-16,1.0,0.0,0.0
2018-07-17,1.0,0.0,0.0
2018-07-18,1.0,0.0,0.0
2018-07-19,1.0,0.0,0.0
2018-07-20,1.0,0.0,0.0
2018-07-23,1.0,0.0,0.0
2018-07-24,1.0,0.0,0.0
2018-07-25,1.0,0.0,0.0
2018-07-26,1.0,0.0,0.0
2018-07-27,1.0,0.0,0.0
2018-07-30,0.48895924170334315,0.0,0.5110407582966568
2018-07-31,0.502289457795521,0.0,0.49771054220447886
2018-08-01,0.5010863460882317,0.0,0.49891365391176834
2018-08-02,0.5153203280038486,0.0,0.4846796719961513
2018-08-03,1.0,0.0,0.0
2018-08-06,1.0,0.0,0.0
2018-08-07,1.0,0.0,0.0
2018-08-08,1.0,0.0,0.0
2018-08-09,1.0,0.0,0.0
2018-08-10,1.0,0.0,0.0
2018-08-13,1.0,0.0,0.0
2018-08-14,1.0,0.0,0.0
2018-08-15,1.0,0.0,0.0
2018-08-16,1.0,0.0,0.0
2018-08-17,1.0,0.0,0.0
2018-08-20,1.0,0.0,0.0
2018-08-21,1.0,0.0,0.0
2018-08-22,1.0,0.0,0.0
2018-08-23,1.0,0.0,0.0
2018-08-24,1.0,0.0,0.0
2018-08-27,1.0,0.0,0.0
2018-08-28,1.0,0.0,0.0
2018-08-29,1.0,0.0,0.0
2018-08-30,1.0,0.0,0.0
2018-08-31,1.0,0.0,0.0
2018-09-04,1.0,0.0,0.0
2018-09-05,1.0,0.0,0.0
2018-09-06,1.0,0.0,0.0
2018-09-07,0.5027010541079817,0.0,0.49729894589201834
2018-09-10,0.49835503656707136,0.0,0.5016449634329286
2018-09-11,0.5088125493574557,0.0,0.4911874506425444
2018-09-12,0.49885516818084324,0.0,0.5011448318191567
2018-09-13,1.0,0.0,0.0
2018-09-14,1.0,0.0,0.0
2018-09-17,1.0,0.0,0.0
2018-09-18,0.5053394083621152,0.0,0.4946605916378848
2018-09-19,0.4993344168255184,0.0,0.5006655831744816
2018-09-20,0.5029611429302551,0.0,0.4970388570697449
2018-09-21,0.49376755045204396,0.0,0.506232449547956
2018-09-24,0.5073772373438328,0.0,0.4926227626561672
2018-09-25,0.5014813341423429,0.0,0.4985186658576572
2018-09-26,0.4995316764444108,0.0,0.5004683235555891
2018-09-27,0.5031424312753777,0.0,0.4968575687246224
2018-09-28,1.0,0.0,0.0
2018-10-01,1.0,0.0,0.0
2018-10-02,1.0,0.0,0.0
2018-10-03,1.0,0.0,0.0
2018-10-04,0.4883147000681098,0.0,0.5116852999318903
2018-10-05,0.4907161917207046,0.0,0.5092838082792954
2018-10-08,0.49901906929529427,0.0,0.5009809307047056
2018-10-09,0.5016047110062989,0.0,0.4983952889937011
2018-10-10,0.46960255519185234,0.0,0.5303974448081477
2018-10-11,0.0,0.4955302929954199,0.5044697070045802
2018-10-12,0.0,0.49925823490661664,0.5007417650933833
2018-10-15,0.0,0.498954455918926,0.501045544081074
2018-10-16,0.0,0.5034111201014082,0.49658887989859174
2018-10-17,0.0,0.5000089231091334,0.4999910768908667
2018-10-18,0.48530293841197714,0.0,0.514697061588023
2018-10-19,0.39429772196482843,0.10068310478917658,0.505019173245995
2018-10-22,0.499302285681035,0.0,0.5006977143189649
2018-10-23,0.5109647159945602,0.0,0.4890352840054398
2018-10-24,0.22596166327608377,0.2529223159544626,0.5211160207694537
2018-10-25,0.0,0.5025117978383316,0.4974882021616685
2018-10-26,0.0,0.4994446806066177,0.5005553193933824
2018-10-29,0.0,0.49536289313026166,0.5046371068697383
2018-10-30,0.0,0.5038574209384903,0.4961425790615098
2018-10-31,0.0,0.49998153542185475,0.5000184645781452
2018-11-01,0.2559773616459205,0.24916755470999172,0.49485508364408776
2018-11-02,0.49103772865151457,0.0,0.5089622713484854
2018-11-05,0.4973943210711546,0.0,0.5026056789288453
2018-11-06,0.5058631353804662,0.0,0.49413686461953377
2018-11-07,0.5132166588286754,0.0,0.4867833411713246
2018-11-08,0.4986758508554428,0.0,0.5013241491445571
